,Unnamed: 0.1,Name,Birthday,Place_of_birth,Weight,Height,Reach,Stance,Total Fights,Wins,Wins by KO,Losses,Draws,No Contests,Sex,Height_cm,Reach_cm,Country,Nationality,Sign,Weight_class
0,0,Franchón Crews-Dezurn,1987-06-13,"Virginia Beach, Virginia, U.S.",middleweight,5 ft 8 in (173 cm)[1],72 in (183 cm),Orthodox,12,9.0,2.0,2.0,,1.0,F,173.0,183.0,USA,American,Gemini,middleweight
1,1,Savannah Marshall,1991-05-19,"Hartlepool, England",middleweight/middleweight,6 ft 0 in (183 cm)[1],72 in (183 cm)[1],,14,13.0,10.0,1.0,,,F,183.0,183.0,England,British,Taurus,middleweight
2,2,Claressa Shields,1995-03-17,,middleweight/middleweight/middleweight/lightweight,5 ft 8 in (173 cm),68 in (173 cm)[2],,14,14.0,2.0,1.0,,,F,173.0,173.0,USA,American,Pisces,lightweight
3,3,Chantelle Cameron,1991-05-14,"Northampton, England",featherweight/lightweight/welterweight,5 ft 8 in (173 cm)[1],,Orthodox,19,18.0,8.0,1.0,,,F,173.0,,England,British,Taurus,featherweight
4,4,Katie Taylor,1986-07-02,"Bray, County Wicklow, Ireland",lightweight/lightweight,5 ft 5 in (165 cm)[1],66 in (168 cm)[1],Orthodox,24,23.0,6.0,1.0,,,F,165.0,168.0,Ireland,Irish,Cancer,lightweight
5,5,Mikaela Mayer,1990-07-04,"Los Angeles, California, U.S.",featherweight/lightweight,5 ft 9 in (175 cm)[1],66+1⁄2 in (169 cm),Orthodox,21,19.0,5.0,2.0,,,F,175.0,169.0,USA,American,Cancer,featherweight
6,6,Alycia Baumgardner,1994-05-24,"Fremont, Ohio, U.S.",featherweight,5 ft 6 in (168 cm),66 in (168 cm),Orthodox,15,14.0,7.0,1.0,,,F,168.0,168.0,USA,American,Gemini,featherweight
7,7,Amanda Serrano,1988-10-09,"Carolina, Puerto Rico",flyweight/bantamweight/bantamweight/featherweight/featherweight/lightweight/welterweight,5 ft 5+1⁄2 in (166 cm)[1],65+1⁄2 in (166 cm)[1],Southpaw,49,2.0,30.0,0.0,1.0,,F,166.0,166.0,Puerto Rico,American(Puerto Rican),Libra,flyweight
8,8,Dina Thorslund,1993-10-14,"Copenhagen, Denmark",bantamweight/bantamweight,5 ft 4 in (163 cm),,Orthodox,21,21.0,9.0,,,,F,163.0,,Denmark,Danish,Libra,bantamweight
9,9,Marlen Esparza,1989-07-29,"Pasadena, Texas, U.S.",flyweight,5 ft 3 in (160 cm),64 in (163 cm),Orthodox,15,14.0,1.0,1.0,,,F,160.0,163.0,USA,American,Leo,flyweight
10,10,Seniesa Estrada,1992-06-26,"Los Angeles, California, U.S.",flyweight/flyweight/flyweight,5 ft 2 in (157 cm),63 in (160 cm),Orthodox,25,25.0,9.0,,,,F,157.0,160.0,USA,American,Cancer,flyweight
11,11,Nina Radovanović,1991-12-19,"Belgrade, SFR Yugoslavia (present day Serbia)",flyweight,1.62 m (5 ft 4 in),,,,,,,,,F,162.0,,Serbia,Serbian,Sagittarius,flyweight
12,12,Gloria Gallardo,1938-10-16,"San Antonio, Texas",,,,,,,,,,,F,,,USA,American,Libra,
13,13,Esmeralda Moreno,1987-07-07,"Chimalhuacán, Mexico, Mexico",flyweight/flyweight,,,,49,35.0,11.0,12.0,2.0,,F,,,Mexico,Mexican,Cancer,flyweight
14,14,Mea Motu,1989-12-30,New Zealand,super lightweight/lightweight/featherweight/featherweight/bantamweight,,,Orthodox,18,18.0,6.0,0.0,0.0,,F,164.0,166.0,New Zealand,New Zealander,Capricorn,bantamweight
15,15,Terri Harper,1996-11-02,"Denaby Main, Yorkshire, England",featherweight/lightweight/superwelterweight,5 ft 5 in (165 cm)[1],65 in (165 cm)[1],Orthodox,16,14.0,6.0,1.0,2.0,,F,165.0,165.0,England,British,Scorpio,featherweight
16,16,Lucia Rijker,1967-12-06,,,1.68 m (5 ft 6 in),,,17,17.0,14.0,0.0,1.0,,F,168.0,,,,Sagittarius,
17,17,Esther Phiri,1987-06-14,"Lusaka, Zambia",bantamweight,,,,19,14.0,5.0,1.0,3.0,1.0,F,,,Zambia,Zambian,Gemini,bantamweight
18,18,Kali Reis,1986-08-24,"Providence, Rhode Island, U.S.",welterweight/welterweight/middleweight/middleweight,5 ft 8 in (173 cm),,Orthodox,27,19.0,5.0,7.0,1.0,,F,173.0,,USA,American,Virgo,welterweight
19,19,Cecilia Braekhus,1981-09-28,"Cartagena, Colombia",welterweight/super welterweight,1.71 m (5 ft 7 in),,Orthodox,39,37.0,9.0,2.0,1.0,,F,171.0,,Colombia,Colombian,Libra,welterweight
20,20,Hannah Rankin,1990-07-21,"Luss, Argyll and Bute, Scotland",middleweight/middleweight/middleweight,5 ft 8 in (173 cm),,Orthodox,18,12.0,3.0,6.0,,,F,173.0,,Scotland,British(scottish),Cancer,middleweight
21,21,Patricia Berghult,1994-05-02,"Malmö, Sweden",welterweight/middleweight,5 ft 8+1⁄2 in (174 cm),,Orthodox,16,15.0,3.0,1.0,,,F,174.0,,Sweden,Swedish,Taurus,welterweight
22,22,Sonya Lamonakis,1974-10-07,Greece,heavyweight/[1],5 ft 7 in (1.70 m)[2],71.0 in (180 cm),,14,10.0,1.0,2.0,3.0,,F,170.0,180.0,Greece,Greek,Libra,heavyweight
23,23,Nao Ikeyama,1969-09-18,"Maniwa, Okayama, Japan",minimumweight/minimumweight,5 ft 0.5 in (154 cm),,Orthodox,29,18.0,5.0,7.0,4.0,,F,154.0,,Japan,Japanese,Virgo,minimumweight
24,24,Nanae Suzuki,1992-05-12,"Ichikawa, Chiba, Japan",minimumweight,5 ft 1 in (155 cm),,Orthodox,18,11.0,1.0,6.0,1.0,,F,155.0,,Japan,Japanese,Taurus,minimumweight
25,25,Hong Su-yun,1987-02-09,"Hwaseong, South Korea",flyweight/flyweight,5 ft 3 in (160 cm),63 in (160 cm),Southpaw,17,15.0,7.0,1.0,1.0,,F,160.0,160.0,South Korea,South Korean,Aquarius,flyweight
26,26,Etsuko Tada,1989-05-28,"Nishinomiya, Japan",flyweight,5 ft 3+1⁄2 in (161 cm),63 in (160 cm),Southpaw,27,20.0,7.0,4.0,3.0,,F,161.0,160.0,Japan,Japanese,Gemini,flyweight
27,27,Kasumi Saeki,1996-07-16,"Konohana-ku, Osaka, Japan",flyweight,1.54 m (5 ft 1 in)[1],,Orthodox,4,4.0,3.0,,,,F,154.0,,Japan,Japanese,Cancer,flyweight
28,28,Yokasta Valle,1992-08-28,"Matagalpa, Nicaragua",minimumweight/flyweight/flyweight,1.63 m (5 ft 4 in)[1],,Orthodox,31,29.0,9.0,2.0,,,F,163.0,,Nicaragua,Nicaraguan,Virgo,minimumweight
29,29,Louisa Hawton,1985-03-09,"Fremantle, Australia",minimumweight/flyweight,5 ft 0 in (152 cm),62 in (157 cm),Orthodox,12,10.0,5.0,2.0,,,F,152.0,157.0,Australia,Australian,Pisces,minimumweight
30,30,Tenkai Tsunami,1984-08-13,"Uruma, Okinawa Prefecture, Japan",flyweight/flyweight/flyweight/bantamweight,5 ft 2 in (157 cm),,Orthodox,42,31.0,19.0,13.0,1.0,,F,157.0,,Japan,Japanese,Leo,flyweight
31,31,Susi Kentikian,1987-09-11,"Yerevan, Armenian SSR, Soviet Union (now Armenia)",flyweight,1.55 m (5 ft 1 in),,Orthodox,39,36.0,17.0,2.0,,1.0,F,155.0,,Armenia,Armenian,Virgo,flyweight
32,32,Kenia Enriquez,1993-10-21,"Tijuana, Baja California, Mexico",flyweight/flyweight,5 ft 3 in (160 cm),,Orthodox,24,23.0,9.0,1.0,,,F,160.0,,Mexico,Mexican,Libra,flyweight
33,33,Monserrat Alarcón,1994-03-07,,minimumweight/flyweight/flyweight/flyweight,,,Orthodox,26,19.0,0.0,5.0,2.0,,F,,,,,Pisces,minimumweight
